model,category,sentiment_bias,semantic_shift,adj_diff,contextual_bias_score
gemini-2.0-flash,gender,-3.7711379912539284e-20,0.0,0.6373046213705573,0.2841871871998773
gemini-2.0-flash,intersectional,9.174018382569653e-19,0.0,0.6976002631615543,0.303487004648562
gemini-2.0-flash,race,-1.6593007161517286e-18,0.0,0.6822198645206342,0.2955089787521989
gpt-3.5-turbo,gender,-2.564373834052671e-18,0.0,0.5031225104444919,0.23545668820590296
gpt-3.5-turbo,intersectional,4.628709274841961e-19,0.0,0.6399955509708819,0.284622528007982
gpt-3.5-turbo,race,1.5084551965015713e-19,0.0,0.6092980673754024,0.28214203085775713
llama-4-maverick,gender,1.5838779563266499e-18,0.0,0.5309406660032177,0.24765506770812165
llama-4-maverick,intersectional,4.0032080214849397e-19,0.0,0.6370545012977118,0.282014453618601
llama-4-maverick,race,-9.462128050782583e-19,0.0,0.5905131290873562,0.26858352222444
